region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn
2,72,57,0,34,22.000,2,35,1.000,1,1,1,0,1,0,41.750,49.000,0.000,18.750,0.000,3043.050,3581.000,0.000,1360.000,0.000,1,0,0,0,1,1,1,1,0,3,0
3,10,41,0,7,30.000,1,7,0.000,0,1,1,0,1,0,2.500,19.250,0.000,53.750,0.000,31.250,178.200,0.000,490.000,0.000,0,0,0,0,1,1,1,1,0,3,0
2,15,28,0,0,29.000,2,4,0.000,1,1,1,0,1,0,4.250,30.000,0.000,17.750,0.000,78.000,426.050,0.000,255.000,0.000,0,0,0,0,1,1,1,1,0,3,0
2,27,28,1,4,23.000,2,8,0.000,0,5,0,0,0,0,6.200,0.000,0.000,0.000,0.000,180.150,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,1,0
1,9,36,1,14,62.000,4,10,0.000,0,6,0,1,0,1,5.650,0.000,46.750,0.000,48.500,43.300,0.000,386.600,0.000,364.850,1,1,1,1,0,0,0,1,1,4,1
1,64,43,1,20,76.000,4,20,0.000,1,4,1,0,1,0,14.700,18.750,0.000,11.000,0.000,897.050,1279.250,0.000,680.000,0.000,1,0,0,0,1,1,0,1,0,3,0
1,65,41,1,3,74.000,4,16,0.000,0,2,0,1,1,0,14.500,0.000,37.000,17.000,0.000,963.300,0.000,2263.050,1065.000,0.000,1,1,0,1,0,0,0,0,1,2,0
1,49,51,1,27,63.000,4,19,0.000,0,5,1,0,1,0,12.850,25.750,0.000,14.250,0.000,585.600,1278.450,0.000,635.000,0.000,1,0,0,1,0,1,0,0,1,2,0
3,47,41,1,0,36.000,4,8,0.000,0,2,0,1,1,1,7.750,0.000,37.450,18.500,38.800,361.000,0.000,1717.750,845.000,1730.400,1,0,1,1,0,1,0,1,1,4,1
3,9,34,1,9,33.000,2,8,0.000,1,4,0,1,0,0,2.950,0.000,22.950,0.000,0.000,18.900,0.000,208.550,0.000,0.000,0,0,0,0,0,0,0,0,0,1,1
1,5,36,0,14,29.000,2,9,0.000,1,1,1,0,1,1,3.250,31.500,0.000,15.500,26.750,16.800,154.650,0.000,60.000,98.600,0,0,0,1,1,1,1,1,1,3,1
2,30,34,1,4,27.000,2,1,0.000,0,5,0,1,0,0,6.300,0.000,22.500,0.000,0.000,150.900,0.000,690.750,0.000,0.000,0,0,0,1,0,0,0,0,0,1,1
1,56,52,1,28,49.000,2,12,0.000,0,4,0,0,1,0,24.750,0.000,0.000,22.250,0.000,1349.050,0.000,0.000,1215.000,0.000,1,0,0,0,0,0,0,0,0,2,0
3,10,22,0,0,24.000,4,0,0.000,0,1,1,1,1,1,7.800,23.750,37.250,22.500,30.050,63.000,222.550,330.400,185.000,306.300,1,1,1,1,1,1,1,1,1,4,0
1,7,26,1,3,26.000,2,2,0.000,0,5,1,0,0,0,4.850,15.500,0.000,0.000,0.000,33.700,136.550,0.000,0.000,0.000,0,0,0,0,0,1,0,0,0,1,0
1,52,27,0,6,47.000,3,5,0.000,0,2,1,0,1,0,6.250,18.500,0.000,14.250,0.000,330.400,942.650,0.000,725.000,0.000,0,0,0,0,1,0,0,0,1,1,0
2,36,45,1,1,94.000,2,18,0.000,1,5,1,1,0,0,7.200,15.750,28.350,0.000,0.000,258.750,553.800,1043.800,0.000,0.000,0,0,1,1,1,0,0,1,0,1,1
3,27,34,0,8,21.000,3,4,0.000,1,1,0,0,0,0,7.650,0.000,0.000,0.000,0.000,213.450,0.000,0.000,0.000,0.000,1,0,0,0,0,0,0,0,0,2,0
1,58,62,1,36,27.000,1,0,0.000,0,2,0,0,1,0,15.500,0.000,0.000,34.500,0.000,967.100,0.000,0.000,1910.000,0.000,0,0,0,0,0,0,0,0,0,1,0
2,41,52,0,27,30.000,2,2,0.000,1,1,1,0,1,1,10.400,28.000,0.000,19.000,27.500,447.850,1152.000,0.000,800.000,1036.650,0,0,0,0,1,1,1,1,0,3,0
2,47,40,1,16,127.000,4,12,0.000,1,4,0,1,1,0,19.700,0.000,28.150,14.750,0.000,909.900,0.000,1319.700,680.000,0.000,1,0,0,1,0,0,0,0,1,2,0
2,55,39,1,15,137.000,2,20,0.000,1,2,1,0,1,0,12.700,27.500,0.000,11.500,0.000,676.900,1505.200,0.000,620.000,0.000,0,1,0,0,1,1,1,1,0,3,1
2,56,50,1,1,80.000,2,24,0.000,1,4,1,0,1,1,28.800,55.500,0.000,21.250,61.100,1558.100,3119.450,0.000,1065.000,3268.050,1,1,1,0,1,1,1,1,0,4,0
3,35,55,0,24,30.000,2,2,0.000,0,1,0,0,1,0,10.250,0.000,0.000,15.750,0.000,395.850,0.000,0.000,550.000,0.000,0,0,0,0,0,0,0,0,0,1,0
2,69,51,1,11,438.000,4,23,0.000,1,2,0,1,1,0,29.000,0.000,47.050,24.750,0.000,1815.400,0.000,3064.150,1655.000,0.000,1,0,1,1,1,0,0,1,0,4,0
2,44,39,0,16,79.000,2,16,0.000,0,1,1,1,1,1,15.250,24.500,37.450,27.250,30.050,653.700,1037.450,1610.100,1110.000,1280.000,1,0,1,1,1,1,1,1,1,4,1
3,36,47,1,16,63.000,1,23,0.000,0,2,0,0,1,0,9.050,0.000,0.000,6.750,0.000,373.650,0.000,0.000,220.000,0.000,0,0,0,0,0,0,0,0,0,1,0
3,28,51,1,22,40.000,3,10,0.000,1,6,1,0,0,0,8.950,21.250,0.000,0.000,0.000,253.550,586.950,0.000,0.000,0.000,0,0,0,0,1,1,1,1,0,3,0
1,72,67,1,44,51.000,1,34,1.000,0,2,1,0,1,0,57.050,51.500,0.000,19.250,0.000,4168.250,3657.900,0.000,1345.000,0.000,1,0,0,0,1,1,1,1,0,3,0
1,16,27,0,5,37.000,3,5,0.000,0,4,0,0,0,0,6.000,0.000,0.000,0.000,0.000,80.700,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,0
3,3,43,0,19,61.000,4,11,0.000,1,1,0,1,1,1,3.150,0.000,27.250,16.250,17.950,7.900,0.000,53.250,20.000,38.200,0,0,0,1,1,0,0,1,1,1,1
1,40,57,1,15,22.000,2,9,0.000,0,2,0,0,1,0,8.550,0.000,0.000,19.750,0.000,381.500,0.000,0.000,710.000,0.000,0,0,0,0,0,0,0,0,0,1,0
3,16,39,0,6,44.000,4,3,0.000,1,1,0,1,0,0,6.600,0.000,23.300,0.000,0.000,96.300,0.000,350.150,0.000,0.000,1,0,0,1,0,0,0,0,1,2,0
1,20,42,0,4,17.000,3,5,0.000,0,1,0,0,0,0,7.800,0.000,0.000,0.000,0.000,175.850,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,0
2,48,43,0,13,110.000,5,15,0.000,1,3,0,1,0,1,7.250,0.000,33.500,0.000,20.650,359.350,0.000,1572.700,0.000,1010.400,1,1,0,1,0,0,0,0,1,2,0
2,64,48,1,13,91.000,2,24,0.000,0,2,1,0,1,1,24.500,24.750,0.000,12.500,29.650,1531.900,1569.250,0.000,780.000,1875.950,1,0,0,0,1,1,1,1,0,3,0
1,8,46,0,3,46.000,2,8,0.000,0,1,0,1,0,0,3.150,0.000,25.050,0.000,0.000,16.650,0.000,172.050,0.000,0.000,0,0,1,1,0,0,0,0,1,1,0
1,40,38,1,10,85.000,3,12,0.000,0,2,0,0,0,0,10.600,0.000,0.000,0.000,0.000,384.800,0.000,0.000,0.000,0.000,0,0,0,0,1,1,1,1,0,3,1
2,38,71,0,27,10.000,2,12,1.000,0,1,0,0,0,0,11.200,0.000,0.000,0.000,0.000,429.850,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,1,0,1,0
1,67,68,0,28,244.000,1,47,0.000,1,1,1,0,1,0,30.250,30.250,0.000,30.750,0.000,2186.200,2036.150,0.000,2105.000,0.000,0,1,0,0,1,1,1,1,0,3,0
1,26,42,0,0,80.000,4,15,0.000,1,1,1,1,1,1,7.850,44.000,49.600,10.500,43.750,196.650,1123.250,1159.350,250.000,1176.550,1,1,1,1,1,1,1,1,1,4,0
3,41,34,1,15,83.000,5,1,0.000,1,2,1,0,1,0,8.900,33.750,0.000,5.750,0.000,379.550,1404.450,0.000,220.000,0.000,1,1,1,1,1,1,1,1,0,4,0
2,2,31,0,2,21.000,1,6,0.000,0,1,0,1,0,0,1.650,0.000,21.600,0.000,0.000,3.200,0.000,17.250,0.000,0.000,0,0,0,0,0,0,0,1,0,1,1
3,20,48,1,29,24.000,2,3,0.000,0,2,1,0,1,0,11.850,22.500,0.000,35.000,0.000,230.700,452.750,0.000,675.000,0.000,1,1,1,0,1,1,1,1,0,4,1
2,31,53,0,2,351.000,3,31,0.000,1,1,1,0,1,0,5.500,31.500,0.000,19.250,0.000,185.300,1009.900,0.000,585.000,0.000,0,0,1,0,1,1,1,1,0,3,0
2,45,52,1,4,169.000,4,29,0.000,1,4,0,1,1,0,14.650,0.000,40.450,14.250,0.000,618.150,0.000,1820.400,690.000,0.000,1,0,0,1,0,0,0,0,0,2,0
2,33,27,1,7,46.000,2,7,0.000,0,4,0,1,0,0,7.250,0.000,29.150,0.000,0.000,243.350,0.000,923.850,0.000,0.000,0,0,0,0,0,0,0,0,1,1,0
1,10,26,0,6,34.000,3,3,0.000,0,1,0,1,0,0,4.850,0.000,27.700,0.000,0.000,41.850,0.000,223.050,0.000,0.000,1,0,0,0,0,0,0,0,0,2,0
2,62,54,1,2,50.000,4,3,0.000,0,2,0,1,1,1,17.250,0.000,48.000,87.500,33.250,1067.800,0.000,2864.150,5455.000,2022.550,1,1,1,1,1,0,1,0,1,4,1
2,4,35,0,16,161.000,5,6,0.000,1,1,1,1,0,1,3.400,23.750,49.800,0.000,35.750,10.350,103.100,126.950,0.000,135.250,0,1,1,1,1,1,1,1,1,4,1
1,42,47,1,17,212.000,4,17,0.000,0,2,1,0,1,0,7.450,26.750,0.000,24.750,0.000,320.900,1163.550,0.000,1035.000,0.000,0,0,0,0,1,1,1,0,0,3,0
3,27,51,1,3,80.000,5,11,0.000,0,3,0,1,0,0,7.100,0.000,39.400,0.000,0.000,176.200,0.000,1086.650,0.000,0.000,1,0,1,1,0,0,0,0,1,2,0
2,38,42,0,1,30.000,4,7,0.000,1,1,1,0,0,0,13.200,27.500,0.000,0.000,0.000,495.850,1087.900,0.000,0.000,0.000,0,0,0,0,0,1,0,0,0,1,0
3,52,61,1,3,53.000,5,1,0.000,1,2,0,1,1,1,12.250,0.000,38.400,8.750,35.950,631.700,0.000,1884.100,465.000,1971.350,1,1,0,1,0,0,0,1,1,2,0
3,35,33,0,9,73.000,5,4,0.000,1,1,1,0,1,1,5.850,38.250,0.000,22.250,40.350,216.600,1337.600,0.000,700.000,1423.800,1,1,1,1,1,1,1,1,1,4,0
3,3,20,1,1,17.000,2,0,0.000,1,4,0,0,0,0,3.750,0.000,0.000,0.000,0.000,12.300,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1,1,1
2,17,33,0,9,23.000,5,3,0.000,0,1,0,1,1,1,10.200,0.000,36.400,14.500,30.900,196.300,0.000,570.900,220.000,529.250,1,1,0,1,1,1,0,0,1,4,1
1,55,53,1,21,34.000,1,8,0.000,0,2,0,0,0,0,5.700,0.000,0.000,0.000,0.000,304.400,0.000,0.000,0.000,0.000,0,0,0,0,0,1,1,1,0,3,0
3,43,36,1,5,107.000,1,19,0.000,1,3,1,0,1,0,11.550,12.750,0.000,21.500,0.000,491.550,583.750,0.000,910.000,0.000,1,0,0,0,0,0,0,0,0,2,1
2,47,25,1,5,21.000,1,1,0.000,1,2,1,0,1,0,8.650,30.500,0.000,9.000,0.000,426.600,1465.450,0.000,405.000,0.000,0,0,0,0,0,1,1,1,0,3,1
3,65,58,0,30,83.000,2,16,0.000,1,1,0,0,1,0,19.300,0.000,0.000,22.750,0.000,1323.200,0.000,0.000,1370.000,0.000,1,0,0,0,0,1,0,0,0,2,0
1,13,20,0,1,17.000,3,0,0.000,0,5,0,1,1,0,3.050,0.000,31.300,14.000,0.000,40.300,0.000,390.600,155.000,0.000,1,0,0,1,1,1,1,1,1,4,0
3,64,25,1,4,76.000,3,2,0.000,1,6,0,1,1,0,24.050,0.000,35.400,21.250,0.000,1536.550,0.000,2288.450,1400.000,0.000,1,0,0,0,1,0,1,1,1,3,0
2,12,24,0,2,19.000,1,0,0.000,0,1,1,0,1,0,4.000,24.750,0.000,27.250,0.000,46.000,299.000,0.000,295.000,0.000,0,0,0,0,1,1,1,1,0,3,1
1,29,32,1,0,49.000,4,3,0.000,1,3,0,1,0,0,6.700,0.000,33.000,0.000,0.000,187.000,0.000,918.250,0.000,0.000,1,0,1,1,0,0,0,0,1,2,1
2,23,47,0,21,173.000,3,22,0.000,1,1,0,0,0,0,7.600,0.000,0.000,0.000,0.000,145.900,0.000,0.000,0.000,0.000,1,0,0,0,1,0,0,1,1,2,0
2,14,35,0,4,47.000,3,10,0.000,1,1,1,0,0,1,5.000,21.750,0.000,0.000,24.150,76.200,318.200,0.000,0.000,274.000,1,0,0,0,0,0,1,1,1,2,1
1,35,61,0,23,41.000,2,11,0.000,0,1,0,0,1,0,9.600,0.000,0.000,9.500,0.000,353.550,0.000,0.000,295.000,0.000,0,0,0,0,0,0,0,0,0,1,0
3,26,39,0,8,105.000,3,13,0.000,1,1,1,0,1,1,6.600,39.750,0.000,37.250,38.250,159.700,1022.450,0.000,1005.000,885.100,1,1,1,0,1,1,1,1,1,4,0
1,13,54,0,2,31.000,4,2,0.000,0,1,0,0,0,0,5.850,0.000,0.000,0.000,0.000,97.000,0.000,0.000,0.000,0.000,0,1,0,1,0,0,0,0,1,1,0
2,69,40,1,13,41.000,2,17,0.000,0,3,0,0,1,0,25.250,0.000,0.000,33.000,0.000,1725.100,0.000,0.000,2320.000,0.000,1,0,0,0,0,0,0,0,0,2,0
3,61,50,1,30,102.000,4,9,0.000,1,3,0,0,1,0,12.600,0.000,0.000,12.500,0.000,760.300,0.000,0.000,745.000,0.000,1,0,0,1,0,0,0,0,1,2,0
2,45,22,1,2,36.000,4,0,0.000,1,5,1,1,0,0,9.950,14.750,26.150,0.000,0.000,412.100,663.100,1180.500,0.000,0.000,1,0,0,0,0,0,0,0,0,2,1
2,3,37,0,13,24.000,1,3,0.000,1,1,0,0,0,0,2.000,0.000,0.000,0.000,0.000,3.050,0.000,0.000,0.000,0.000,0,1,0,0,0,0,0,1,1,1,0
2,53,22,0,1,25.000,4,0,0.000,0,2,0,1,1,0,12.050,0.000,27.150,6.500,0.000,666.000,0.000,1469.250,335.000,0.000,1,0,0,1,0,0,0,0,1,2,0
1,59,42,0,1,68.000,2,21,0.000,1,1,1,0,1,0,17.300,21.250,0.000,19.250,0.000,997.850,1183.550,0.000,1160.000,0.000,1,0,0,0,1,1,1,1,0,3,0
1,13,34,0,11,20.000,3,0,0.000,1,1,0,0,0,0,4.800,0.000,0.000,0.000,0.000,71.050,0.000,0.000,0.000,0.000,0,0,0,1,0,0,0,0,0,1,0
3,31,31,0,4,48.000,1,15,0.000,0,1,0,0,0,0,3.800,0.000,0.000,0.000,0.000,127.700,0.000,0.000,0.000,0.000,0,0,0,0,0,1,1,1,0,3,0
1,40,29,1,6,40.000,2,8,0.000,1,5,0,0,0,0,13.000,0.000,0.000,0.000,0.000,502.950,0.000,0.000,0.000,0.000,0,0,0,0,0,1,1,1,0,3,0
1,48,55,0,15,79.000,1,25,0.000,0,1,0,0,1,0,13.800,0.000,0.000,25.500,0.000,668.650,0.000,0.000,1140.000,0.000,0,0,0,0,1,1,1,1,0,3,0
3,3,31,0,1,28.000,1,0,0.000,0,1,1,1,1,0,3.450,15.500,23.300,23.500,0.000,13.300,48.750,62.950,45.000,0.000,0,0,0,1,0,0,1,0,0,1,1
2,51,48,0,12,64.000,2,22,0.000,1,1,0,0,1,0,14.800,0.000,0.000,17.000,0.000,708.450,0.000,0.000,820.000,0.000,0,0,0,0,0,0,0,0,0,1,0
3,33,41,0,15,37.000,2,11,0.000,0,1,0,0,0,0,12.200,0.000,0.000,0.000,0.000,415.050,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,0
3,14,47,1,7,48.000,1,13,0.000,0,2,1,0,0,0,4.250,11.000,0.000,0.000,0.000,55.500,126.450,0.000,0.000,0.000,0,0,0,0,0,0,0,1,0,1,0
1,17,42,1,6,131.000,5,6,0.000,0,3,0,1,0,1,5.800,0.000,35.350,0.000,21.650,103.100,0.000,527.800,0.000,331.400,1,0,0,1,0,0,0,0,1,2,1
3,19,29,1,9,18.000,2,2,0.000,0,3,0,0,0,0,5.400,0.000,0.000,0.000,0.000,108.500,0.000,0.000,0.000,0.000,0,0,0,1,0,0,1,0,1,1,1
2,58,36,0,10,38.000,2,14,0.000,1,1,0,0,1,0,10.150,0.000,0.000,17.750,0.000,538.650,0.000,0.000,1030.000,0.000,1,0,0,0,0,0,0,0,0,2,0
3,22,23,0,3,37.000,2,4,0.000,1,3,0,1,1,1,5.350,0.000,28.100,9.000,24.700,144.050,0.000,602.200,200.000,503.500,0,1,0,1,1,0,0,1,1,4,0
2,29,31,1,1,60.000,4,6,0.000,0,5,0,1,0,0,9.600,0.000,26.750,0.000,0.000,243.900,0.000,730.800,0.000,0.000,1,0,0,1,0,0,0,0,1,2,1
3,14,22,1,2,13.000,3,0,0.000,1,4,0,1,0,0,9.450,0.000,26.850,0.000,0.000,117.550,0.000,364.100,0.000,0.000,1,0,0,1,0,0,0,0,0,2,1
2,70,64,1,18,98.000,1,31,0.000,1,2,1,0,1,1,26.150,84.000,0.000,11.250,45.450,1805.100,5850.250,0.000,720.000,3243.250,1,1,1,0,1,1,1,1,0,4,0
1,62,52,1,2,195.000,1,23,0.000,0,2,1,0,1,1,23.150,36.750,0.000,36.000,34.300,1420.950,2308.250,0.000,2205.000,2082.800,1,0,0,0,0,0,1,1,0,3,1
2,7,35,1,0,47.000,1,14,0.000,0,5,0,0,0,0,5.200,0.000,0.000,0.000,0.000,46.900,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,1
1,56,47,1,19,65.000,2,22,0.000,0,3,1,0,1,1,12.400,48.750,0.000,36.500,58.400,744.450,2695.950,0.000,2070.000,3084.200,0,1,1,0,1,1,1,1,0,4,0
1,50,50,1,22,150.000,5,5,0.000,1,4,0,1,1,0,19.300,0.000,33.400,50.750,0.000,930.800,0.000,1719.400,2585.000,0.000,1,1,0,1,0,0,1,0,1,2,1
2,57,39,0,6,106.000,5,8,0.000,0,1,1,1,1,1,9.050,24.250,41.850,12.250,39.600,568.150,1486.350,2291.350,740.000,2183.950,1,0,1,0,1,1,1,1,0,3,0
3,2,40,0,19,51.000,4,14,0.000,1,1,0,0,0,0,4.250,0.000,0.000,0.000,0.000,6.800,0.000,0.000,0.000,0.000,0,1,0,1,0,0,0,0,1,1,0
2,40,38,0,17,96.000,4,0,0.000,1,1,0,0,0,0,9.300,0.000,0.000,0.000,0.000,316.050,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,0
2,6,43,0,4,33.000,5,7,0.000,0,2,0,0,1,1,4.250,0.000,0.000,16.250,26.750,30.000,0.000,0.000,85.000,146.550,1,0,1,0,1,1,1,1,0,3,0
3,23,25,1,6,38.000,2,1,0.000,1,3,1,1,1,0,13.900,23.250,28.500,3.750,0.000,255.000,574.850,621.250,65.000,0.000,1,0,1,0,0,1,1,0,0,3,0
3,11,32,0,6,125.000,4,5,0.000,0,1,1,1,1,1,3.800,19.250,61.450,19.000,58.250,31.750,233.400,578.600,200.000,577.700,1,1,1,1,1,1,1,1,1,4,1
1,29,37,1,13,145.000,5,0,0.000,1,4,1,1,1,1,8.600,24.000,41.150,17.750,28.000,241.450,713.450,1201.400,495.000,722.800,0,1,1,1,1,1,1,1,0,4,0
